rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games
171,fa,30,,Ryan McMahon,641857,266,32,59,12,1,12,0.327,0.737,0.41,25,41,95,1,1,104,0.222,309,109,76
172,fa,26,,Oneil Cruz,665833,256,41,54,10,1,13,0.326,0.736,0.41,31,42,101,26,3,112,0.211,304,105,70
173,fa,30,,Cedric Mullins,656775,223,31,49,11,0,12,0.306,0.736,0.43,35,26,65,8,2,98,0.22,252,96,62
174,fa,27,,Vinnie Pasquantino,686469,296,31,79,7,1,11,0.327,0.736,0.409,41,23,52,1,0,146,0.267,324,121,77
175,fa,30,,Tommy Edman,669242,214,33,53,10,1,10,0.292,0.736,0.444,38,11,37,3,1,86,0.248,233,95,60
176,fa,27,,Gavin Lux,666158,232,24,61,14,1,4,0.352,0.736,0.384,34,32,62,1,0,101,0.263,264,89,71
177,fa,21,,Jackson Holliday,702616,275,32,73,12,2,9,0.313,0.735,0.422,32,15,69,8,6,86,0.265,294,116,71
178,fa,28,,Alec Bohm,664761,293,32,85,11,1,7,0.328,0.734,0.406,36,15,49,2,0,123,0.29,314,119,75
179,fa,27,,Jesús Sánchez,660821,198,23,49,8,2,7,0.32,0.734,0.414,28,21,50,8,1,91,0.247,222,82,56
180,fa,28,,Luis Urías,649966,198,22,50,7,0,7,0.339,0.733,0.394,17,24,30,2,0,77,0.253,230,78,63
181,fa,21,,Jackson Chourio,694192,335,50,86,22,3,12,0.285,0.733,0.448,46,13,72,15,5,138,0.257,351,150,78
182,fa,23,,Colt Keith,690993,202,32,49,12,1,6,0.332,0.733,0.401,24,28,47,0,0,89,0.243,232,81,69
183,fa,28,,Daniel Schneemann,682177,167,22,39,7,0,8,0.312,0.731,0.419,21,19,47,5,1,65,0.234,187,70,59
184,fa,26,,Dillon Dingler,693307,209,23,57,9,1,7,0.305,0.731,0.426,31,6,57,0,0,92,0.273,220,89,60
185,fa,30,,Miguel Andujar,609280,169,19,50,7,1,3,0.328,0.73,0.402,20,9,23,1,0,56,0.296,180,68,46
186,fa,27,,Shea Langeliers,669127,207,25,49,10,0,10,0.3,0.73,0.43,27,20,43,4,1,108,0.237,230,89,56
187,fa,24,,Kyle Manzardo,700932,221,23,48,11,2,11,0.296,0.73,0.434,31,24,63,1,0,111,0.217,250,96,66
188,fa,36,,Starling Marte,516782,138,19,35,6,0,4,0.346,0.73,0.384,18,12,27,4,2,62,0.254,160,53,51
189,fa,27,,Kerry Carpenter,681481,252,37,62,11,1,13,0.277,0.729,0.452,27,7,58,1,1,110,0.246,267,114,73
190,fa,32,,Mookie Betts,605141,279,50,71,9,1,9,0.338,0.729,0.391,38,35,31,6,0,108,0.254,317,109,72
191,fa,24,,Julio Rodríguez,677594,315,48,80,11,3,11,0.315,0.728,0.413,39,22,69,12,3,145,0.254,343,130,76
192,fa,29,,Thairo Estrada,642731,66,6,19,6,0,1,0.304,0.728,0.424,8,0,11,0,1,26,0.288,69,28,16
193,fa,29,,Kody Clemens,665019,116,16,23,5,1,7,0.288,0.728,0.44,17,12,30,0,1,61,0.198,133,51,50
194,fa,24,,Curtis Mead,678554,96,13,24,2,1,3,0.342,0.727,0.385,8,10,26,3,1,48,0.25,111,37,42
195,fa,27,,Matt Wallner,670242,128,15,26,7,2,6,0.297,0.727,0.43,10,14,43,0,0,38,0.203,145,55,38
196,fa,33,,Wilmer Flores,527038,266,31,67,7,0,11,0.324,0.726,0.402,54,24,54,1,0,120,0.252,296,107,75
197,fa,24,,Rece Hinds,677956,19,2,3,1,0,2,0.2,0.726,0.526,3,1,10,0,0,8,0.158,20,10,7
198,fa,31,,Lourdes Gurriel Jr.,666971,280,25,72,14,1,10,0.304,0.725,0.421,40,18,44,6,1,117,0.257,306,118,72
199,fa,26,,Jung Hoo Lee,808982,286,44,72,17,5,6,0.315,0.724,0.409,34,26,35,6,1,104,0.252,317,117,75
200,fa,24,,Anthony Volpe,683011,275,33,64,20,2,9,0.306,0.724,0.418,41,28,78,8,7,145,0.233,311,115,77
201,fa,26,,Jordan Westburg,676059,131,20,30,4,1,7,0.289,0.724,0.435,14,9,37,1,1,47,0.229,142,57,34
202,fa,32,,Austin Slater,596103,68,10,16,5,0,2,0.325,0.722,0.397,5,9,26,0,0,37,0.235,78,27,32
203,fa,32,,Austin Slater,596103,68,10,16,5,0,2,0.325,0.722,0.397,5,9,26,0,0,37,0.235,78,27,32
204,fa,32,,Austin Slater,596103,68,10,16,5,0,2,0.325,0.722,0.397,5,9,26,0,0,37,0.235,78,27,32
205,fa,24,,Ceddanne Rafaela,678882,254,41,65,13,2,8,0.304,0.721,0.417,30,14,58,11,1,106,0.256,276,106,75
206,fa,25,,Austin Wells,669224,218,26,48,13,1,11,0.28,0.72,0.44,44,16,61,3,1,106,0.22,246,96,66
207,fa,26,,Dylan Carlson,666185,100,10,26,4,0,4,0.299,0.719,0.42,12,6,28,2,2,36,0.26,107,42,37
208,fa,26,,Dylan Carlson,666185,100,10,26,4,0,4,0.299,0.719,0.42,12,6,28,2,2,36,0.26,107,42,37
209,fa,34,,Nolan Arenado,571448,279,37,70,11,1,10,0.313,0.718,0.405,39,23,32,1,0,140,0.251,307,113,73
210,fa,30,,Mauricio Dubón,643289,145,19,37,9,0,5,0.297,0.718,0.421,18,9,13,2,0,79,0.255,156,61,55
211,fa,33,,Randal Grichuk,545341,115,17,28,10,1,3,0.291,0.717,0.426,15,9,26,0,0,50,0.243,127,49,50
212,fa,24,,Brooks Lee,686797,223,20,62,7,0,7,0.312,0.716,0.404,28,11,46,1,1,84,0.278,237,90,62
213,fa,25,,Brice Turang,668930,285,50,78,11,0,5,0.351,0.716,0.365,31,35,72,16,6,100,0.274,326,104,76
214,fa,29,,Edmundo Sosa,624641,104,12,29,6,0,2,0.321,0.715,0.394,16,6,23,0,0,34,0.279,113,41,39
215,fa,28,,Jarren Duran,680776,335,40,86,19,8,5,0.309,0.715,0.406,38,21,86,15,5,117,0.257,364,136,79
216,fa,27,,Will Benson,666181,108,15,23,5,0,6,0.288,0.714,0.426,21,12,34,1,2,51,0.213,125,46,37
217,fa,27,,Lars Nootbaar,663457,288,42,66,13,0,10,0.335,0.713,0.378,33,43,73,4,4,136,0.229,337,109,75
218,fa,27,,Brandon Marsh,669016,148,20,38,9,1,2,0.341,0.713,0.372,16,20,42,3,1,66,0.257,171,55,58
219,fa,22,,Jasson Domínguez,691176,211,32,51,11,0,6,0.333,0.712,0.379,27,30,69,10,1,98,0.242,246,80,65
220,fa,31,,Dansby Swanson,621020,294,43,70,10,1,14,0.29,0.712,0.422,39,23,87,7,2,136,0.238,322,124,77
221,fa,27,,Leo Rivas,660844,60,14,17,1,0,0,0.411,0.711,0.3,4,12,15,4,0,35,0.283,73,18,30
222,fa,31,,Corey Seager,608369,175,20,41,6,0,7,0.322,0.711,0.389,16,22,41,0,0,74,0.234,199,68,47
223,fa,27,,William Contreras,661388,266,38,65,11,0,6,0.358,0.711,0.353,34,49,62,5,0,118,0.244,318,94,74
224,fa,30,,Ty France,664034,278,34,74,14,0,6,0.328,0.709,0.381,42,13,46,1,0,115,0.266,305,106,76
225,fa,30,,Ty France,664034,278,34,74,14,0,6,0.328,0.709,0.381,42,13,46,1,0,115,0.266,305,106,76
226,fa,35,,Giancarlo Stanton,519317,23,0,7,1,0,0,0.36,0.708,0.348,1,2,9,0,0,15,0.304,25,8,7
227,fa,26,,Christopher Morel,666624,156,24,35,11,0,6,0.297,0.707,0.41,18,14,59,4,2,61,0.224,172,64,57
228,fa,26,,Christopher Morel,666624,156,24,35,11,0,6,0.297,0.707,0.41,18,14,59,4,2,61,0.224,172,64,57
229,fa,30,,Jake Fraley,641584,125,24,28,4,0,5,0.331,0.707,0.376,17,19,28,4,2,44,0.224,145,47,47
230,fa,23,,Ezequiel Tovar,678662,128,14,33,6,2,3,0.301,0.707,0.406,10,7,30,2,2,41,0.258,138,52,32
231,fa,31,,Tomás Nido,621512,35,4,12,0,0,0,0.361,0.704,0.343,2,0,10,0,0,15,0.343,37,12,11
232,fa,31,,Tomás Nido,621512,35,4,12,0,0,0,0.361,0.704,0.343,2,0,10,0,0,15,0.343,37,12,11
233,fa,32,,Dylan Moore,664238,153,23,35,4,0,8,0.29,0.702,0.412,16,14,56,9,4,71,0.229,169,63,59
234,fa,31,,Victor Caratini,605170,163,17,41,7,0,5,0.315,0.702,0.387,17,10,32,0,0,68,0.252,181,63,52
235,fa,29,,Nathaniel Lowe,663993,298,33,69,12,0,13,0.298,0.701,0.403,52,28,88,1,0,117,0.232,329,120,79
236,fa,28,,Luis Arraez,650333,294,36,82,16,4,3,0.309,0.7,0.391,29,13,6,3,1,118,0.279,315,115,72
237,fa,28,,Luis Arraez,650333,294,36,82,16,4,3,0.309,0.7,0.391,29,13,6,3,1,118,0.279,315,115,72
238,fa,25,,Nolan Gorman,669357,142,21,30,8,1,5,0.311,0.698,0.387,20,22,49,0,1,80,0.211,167,55,50
239,fa,27,,Josh Lowe,666139,126,24,29,7,0,4,0.317,0.698,0.381,12,15,33,5,1,56,0.23,143,48,35
240,fa,30,,Carlos Correa,621043,245,29,64,14,0,6,0.305,0.697,0.392,24,16,51,0,0,121,0.261,262,96,67
241,fa,23,,Masyn Winn,691026,254,47,64,13,0,6,0.322,0.696,0.374,25,24,52,4,5,101,0.252,284,95,67
242,fa,32,,Max Kepler,596146,232,32,49,14,0,9,0.303,0.691,0.388,27,28,54,0,0,116,0.211,264,90,71
243,fa,27,,Adley Rutschman,668939,242,31,55,9,1,8,0.319,0.691,0.372,20,32,45,0,0,94,0.227,276,90,68
244,fa,28,,Luken Baker,663609,34,3,8,3,0,0,0.366,0.69,0.324,2,7,10,0,0,22,0.235,41,11,19
245,fa,24,,José Tena,677588,137,18,34,12,2,0,0.325,0.69,0.365,13,15,33,2,1,55,0.248,154,50,44
246,fa,24,,José Tena,677588,137,18,34,12,2,0,0.325,0.69,0.365,13,15,33,2,1,55,0.248,154,50,44
247,fa,25,,Xavier Edwards,669364,242,28,70,7,1,0,0.363,0.689,0.326,16,28,40,14,6,69,0.289,275,79,61
248,fa,25,,Zach Dezenzo,701305,98,17,24,6,0,2,0.321,0.688,0.367,10,11,37,1,0,50,0.245,109,36,34
249,fa,32,,Adolis García,666969,262,26,61,17,0,9,0.285,0.686,0.401,37,18,71,7,2,124,0.233,288,105,74
250,fa,31,,Ramón Urías,602104,184,20,47,7,0,5,0.311,0.686,0.375,25,17,42,1,0,91,0.255,209,69,55
251,fa,39,,Carlos Santana,467793,250,34,59,6,0,8,0.329,0.685,0.356,36,33,51,4,0,110,0.236,289,89,71
252,fa,32,,Eric Haase,606992,47,6,11,2,0,2,0.28,0.684,0.404,7,3,21,0,0,16,0.234,51,19,22
253,fa,30,,Matt Thaiss,642136,117,15,27,5,0,1,0.385,0.684,0.299,13,28,36,1,1,48,0.231,149,35,45
254,fa,28,,Nico Hoerner,663538,285,41,82,17,1,0,0.33,0.684,0.354,31,15,22,14,3,110,0.288,306,101,74
255,fa,28,,Max Schuemann,680474,79,10,18,1,2,1,0.354,0.683,0.329,5,14,15,3,1,38,0.228,96,26,53
256,fa,30,,Rowdy Tellez,642133,173,20,36,6,0,11,0.249,0.683,0.434,27,8,49,1,0,86,0.208,185,75,62
257,fa,34,,J.T. Realmuto,592663,238,29,59,11,1,5,0.317,0.683,0.366,27,22,63,4,1,97,0.248,262,87,64
258,fa,25,,Mark Vientos,668901,187,22,43,8,1,6,0.298,0.678,0.38,21,17,49,0,0,86,0.23,208,71,53
259,fa,27,,Spencer Horwitz,687462,110,14,28,8,0,1,0.322,0.677,0.355,9,10,30,0,0,50,0.255,121,39,31
260,fa,25,,Lenyn Sosa,672820,226,20,61,12,1,4,0.289,0.674,0.385,17,6,56,1,0,105,0.27,233,87,64
261,fa,30,,Isiah Kiner-Falefa,643396,225,22,62,10,2,1,0.322,0.673,0.351,18,12,38,9,3,89,0.276,245,79,67
262,fa,32,,Xander Bogaerts,593428,273,33,68,15,0,4,0.325,0.673,0.348,28,32,52,13,1,130,0.249,311,95,77
263,fa,30,,Isiah Kiner-Falefa,643396,225,22,62,10,2,1,0.322,0.673,0.351,18,12,38,9,3,89,0.276,245,79,67
264,fa,27,,Eric Wagaman,676572,267,29,68,16,1,5,0.295,0.673,0.378,28,17,54,2,1,111,0.255,288,101,71
265,fa,35,,Salvador Perez,521692,289,19,68,19,0,9,0.277,0.671,0.394,41,14,65,0,0,133,0.235,308,114,74
266,fa,29,,Derek Hill,656537,73,11,17,4,0,2,0.3,0.67,0.37,5,6,29,6,0,41,0.233,82,27,23
267,fa,29,,Derek Hill,656537,73,11,17,4,0,2,0.3,0.67,0.37,5,6,29,6,0,41,0.233,82,27,23
268,fa,29,,Derek Hill,656537,73,11,17,4,0,2,0.3,0.67,0.37,5,6,29,6,0,41,0.233,82,27,23
269,fa,25,,Brett Baty,683146,171,17,37,4,2,8,0.266,0.67,0.404,24,11,49,3,0,74,0.216,185,69,57
270,fa,30,,Bryan Reynolds,668804,288,26,66,12,2,8,0.301,0.669,0.368,39,29,84,3,2,124,0.229,322,106,74
271,fa,26,,Nick Loftin,679845,52,7,11,3,2,1,0.263,0.667,0.404,5,4,10,1,1,19,0.212,57,21,18
272,fa,37,,Donovan Solano,456781,105,6,27,3,0,3,0.295,0.666,0.371,13,5,25,0,0,61,0.257,112,39,44
273,fa,28,,Nick Fortes,663743,94,9,23,4,1,2,0.294,0.666,0.372,9,6,14,0,0,42,0.245,103,35,38
274,fa,33,,Enrique Hernández,571771,147,21,31,5,0,7,0.278,0.666,0.388,18,14,42,0,0,74,0.211,163,57,64
275,fa,25,,Bo Naylor,666310,174,25,31,6,1,9,0.286,0.665,0.379,20,27,57,1,1,71,0.178,204,66,58
276,fa,27,,JJ Bleday,668709,197,29,39,10,0,8,0.293,0.664,0.371,22,27,53,1,2,79,0.198,225,73,59
277,fa,26,,Otto Lopez,672640,224,28,54,7,0,6,0.31,0.663,0.353,27,22,35,8,3,92,0.241,248,79,61
278,fa,30,,Eli White,642201,160,24,39,7,3,3,0.28,0.661,0.381,15,7,39,5,1,73,0.244,169,61,60
279,fa,28,,José Caballero,676609,175,26,39,11,1,2,0.328,0.659,0.331,22,25,60,29,6,83,0.223,205,58,64
280,fa,30,,Danny Jansen,643376,163,17,32,5,0,7,0.303,0.659,0.356,19,22,46,0,0,85,0.196,188,58,52
281,fa,30,,Danny Jansen,643376,163,17,32,5,0,7,0.303,0.659,0.356,19,22,46,0,0,85,0.196,188,58,52
282,fa,27,,Josh Jung,673962,251,24,60,10,1,7,0.287,0.658,0.371,30,15,64,4,1,105,0.239,268,93,68
283,fa,36,,DJ LeMahieu,518934,98,9,24,3,0,2,0.321,0.658,0.337,10,11,24,0,0,49,0.245,109,33,33
284,fa,24,,Victor Scott II,687363,227,34,55,8,1,3,0.331,0.657,0.326,24,23,71,22,1,90,0.242,264,74,73
285,fa,26,,Korey Lee,686676,28,7,7,3,0,0,0.3,0.657,0.357,1,2,5,0,0,13,0.25,31,10,14
286,fa,26,,Enmanuel Valdez,665839,91,7,19,4,2,2,0.294,0.657,0.363,12,11,16,0,0,38,0.209,102,33,31
287,fa,29,,Jake Burger,669394,236,27,52,13,0,10,0.253,0.656,0.403,29,8,65,1,1,99,0.22,249,95,65
288,fa,27,,Bryson Stott,681082,262,32,63,8,2,5,0.31,0.654,0.344,34,26,52,12,3,112,0.24,291,90,71
289,fa,25,,Gabriel Arias,672356,239,27,55,16,0,5,0.293,0.653,0.36,27,17,82,3,3,91,0.23,264,86,71
290,fa,33,,Adam Frazier,624428,213,20,54,9,0,3,0.315,0.653,0.338,20,15,37,6,5,69,0.254,236,72,68
291,fa,23,,Francisco Alvarez,682626,123,10,29,3,0,3,0.319,0.652,0.333,11,13,38,0,0,55,0.236,138,41,35
292,fa,33,,Gio Urshela,570482,105,4,25,10,1,0,0.298,0.65,0.352,14,9,19,0,0,52,0.238,116,37,35
293,fa,33,,Gio Urshela,570482,105,4,25,10,1,0,0.298,0.65,0.352,14,9,19,0,0,52,0.238,116,37,35
294,fa,25,,Connor Norby,681393,194,25,46,10,1,4,0.288,0.649,0.361,20,11,59,6,2,80,0.237,208,70,55
295,fa,25,,Connor Norby,681393,194,25,46,10,1,4,0.288,0.649,0.361,20,11,59,6,2,80,0.237,208,70,55
296,fa,26,,Michael Toglia,669911,214,17,43,9,1,9,0.27,0.649,0.379,26,20,91,3,0,84,0.201,237,81,61
297,fa,30,,Cooper Hummel,669450,15,2,2,0,0,1,0.316,0.649,0.333,2,3,9,0,0,9,0.133,20,5,9
298,fa,30,,Chas McCormick,676801,43,6,11,2,0,0,0.347,0.649,0.302,2,5,14,1,3,19,0.256,53,13,36
299,fa,34,,Michael A. Taylor,572191,140,20,29,9,1,4,0.277,0.648,0.371,17,14,59,7,2,60,0.207,156,52,68
300,fa,25,,Alek Thomas,677950,200,22,49,9,2,3,0.293,0.648,0.355,19,10,52,4,2,92,0.245,216,71,68
301,fa,34,,Christian Walker,572233,285,32,62,10,1,10,0.283,0.648,0.365,37,22,86,0,0,138,0.218,314,104,75
302,fa,32,,Trevor Story,596115,294,35,69,7,0,11,0.277,0.648,0.371,39,14,95,11,0,136,0.235,312,109,76
303,fa,26,,Yainer Diaz,673237,263,29,62,9,1,9,0.268,0.648,0.38,30,10,52,0,1,128,0.236,276,100,68
304,fa,23,,Kyren Paris,677347,126,20,24,4,1,6,0.266,0.647,0.381,11,10,59,7,1,31,0.19,140,48,43
305,fa,28,,Jonathan India,663697,269,29,64,13,0,4,0.315,0.646,0.331,22,28,43,0,3,74,0.238,302,89,70
306,fa,27,,Spencer Steer,668715,264,30,62,12,1,6,0.29,0.646,0.356,26,20,72,6,1,108,0.235,286,94,72
307,fa,27,,Yordan Alvarez,670541,100,7,21,4,0,3,0.306,0.646,0.34,18,16,21,1,0,36,0.21,121,34,29
308,fa,28,,Joey Bart,663698,166,9,40,5,1,1,0.344,0.645,0.301,13,23,48,1,0,78,0.241,192,50,50
309,fa,26,,Drew Waters,671221,187,21,49,6,3,1,0.303,0.645,0.342,14,9,51,5,2,86,0.262,198,64,61
310,fa,26,,Davis Schneider,676914,42,7,8,1,0,1,0.358,0.644,0.286,5,10,15,0,0,28,0.19,53,12,20
311,fa,30,,Freddy Fermin,666023,132,12,34,4,0,2,0.31,0.643,0.333,8,9,23,0,1,51,0.258,143,44,45
312,fa,29,,Daniel Johnson,669288,21,4,4,1,0,1,0.261,0.642,0.381,1,2,7,1,0,3,0.19,23,8,10
313,fa,29,,Willy Adames,642715,288,42,60,11,1,9,0.294,0.641,0.347,33,36,86,3,2,114,0.208,331,100,77
314,fa,36,,Miguel Rojas,500743,101,11,24,4,0,3,0.274,0.64,0.366,8,5,15,0,0,51,0.238,107,37,46
315,fa,34,,Kyle Farmer,571657,172,8,40,14,0,3,0.273,0.639,0.366,17,9,39,0,0,73,0.233,183,63,56
316,fa,34,,Marcus Semien,543760,275,29,61,8,1,7,0.303,0.638,0.335,32,32,58,6,1,104,0.222,314,92,78
317,fa,25,,Justyn-Henry Malloy,669234,93,13,20,4,0,1,0.348,0.638,0.29,16,19,31,0,0,36,0.215,115,27,45
318,fa,27,,Matt Mervis,670223,120,15,21,4,0,7,0.254,0.637,0.383,14,11,50,0,0,61,0.175,134,46,42
319,fa,32,,Josh Bell,605137,233,23,46,4,1,10,0.282,0.634,0.352,28,25,48,0,1,106,0.197,262,82,67
320,fa,32,,Josh Bell,605137,233,23,46,4,1,10,0.282,0.634,0.352,28,25,48,0,1,106,0.197,262,82,67
321,fa,28,,Kyle Isbel,664728,181,19,45,6,3,3,0.268,0.633,0.365,15,6,35,2,1,74,0.249,198,66,68
322,fa,30,,Myles Straw,664702,129,19,34,7,0,1,0.291,0.632,0.341,14,5,17,5,1,62,0.264,139,44,61
323,fa,29,,Miles Mastrobuoni,670156,120,17,30,3,0,1,0.331,0.631,0.3,9,15,22,4,3,48,0.25,139,36,57
324,fa,33,,Jorge Soler,624585,237,25,49,10,0,8,0.28,0.63,0.35,26,22,79,0,0,102,0.207,265,83,67
325,fa,33,,Jorge Soler,624585,237,25,49,10,0,8,0.28,0.63,0.35,26,22,79,0,0,102,0.207,265,83,67
326,fa,26,,Oswaldo Cabrera,665828,107,17,26,4,0,1,0.322,0.63,0.308,11,11,25,0,1,51,0.243,122,33,34
327,fa,23,,Angel Martínez,682657,209,24,50,10,1,5,0.261,0.629,0.368,25,6,45,5,0,86,0.239,220,77,60
328,fa,28,,Ryan Mountcastle,663624,187,19,46,13,0,2,0.28,0.628,0.348,15,8,46,1,0,81,0.246,200,65,52
329,fa,26,,Pedro Pagés,686780,181,22,40,9,0,5,0.272,0.626,0.354,22,12,47,0,0,96,0.221,197,64,59
330,fa,28,,Ozzie Albies,645277,298,34,67,11,1,6,0.297,0.626,0.329,27,28,56,7,1,140,0.225,330,98,77
331,fa,27,,Nolan Jones,666134,176,13,38,8,1,3,0.302,0.626,0.324,19,20,51,4,3,72,0.216,200,57,68
332,fa,34,,Mitch Garver,641598,120,13,25,3,0,3,0.317,0.625,0.308,16,18,41,3,0,67,0.208,139,37,44
333,fa,29,,Luis Torrens,620443,131,7,29,9,1,1,0.297,0.625,0.328,13,13,31,0,0,52,0.221,145,43,47
334,fa,28,,Victor Robles,645302,44,3,12,3,0,0,0.283,0.624,0.341,3,0,7,3,0,17,0.273,46,15,10
335,fa,28,,Victor Robles,645302,44,3,12,3,0,0,0.283,0.624,0.341,3,0,7,3,0,17,0.273,46,15,10
336,fa,29,,Jonah Heim,641680,196,17,44,5,0,7,0.263,0.62,0.357,20,10,48,3,0,68,0.224,209,70,59
337,fa,23,,Dylan Crews,686611,158,24,31,2,1,7,0.266,0.62,0.354,15,11,48,11,3,80,0.196,173,56,45
338,fa,31,,Tyrone Taylor,621438,211,22,48,10,3,2,0.287,0.619,0.332,15,10,50,9,1,85,0.227,232,70,71
339,fa,27,,Kameron Misner,670224,197,27,42,9,1,5,0.273,0.618,0.345,22,16,69,8,1,92,0.213,217,68,71
340,fa,30,,Manuel Margot,622534,19,1,6,0,0,0,0.3,0.616,0.316,3,0,6,0,0,3,0.316,20,6,6
341,fa,32,,Gary Sánchez,596142,53,7,11,0,0,2,0.295,0.616,0.321,11,2,16,0,0,13,0.208,61,17,20
342,fa,22,,Javier Sanoja,691594,156,18,37,10,1,1,0.278,0.611,0.333,15,10,25,3,4,61,0.237,173,52,61
343,fa,28,,Keston Hiura,669374,18,3,4,1,0,0,0.333,0.611,0.278,1,0,7,0,0,5,0.222,21,5,8
344,fa,29,,Bobby Dalbec,666915,18,2,4,1,0,0,0.333,0.611,0.278,1,3,6,0,0,2,0.222,21,5,7
