rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
337,fa,34,568,621199,Matt Bowman,18,1.29,21.2,23,12,11,5,16,3,65,95,381,4.57,0,0,0,0,1,0,0,0,,,,
338,fa,34,568,621199,Matt Bowman,18,1.29,21.2,23,12,11,5,16,3,65,95,381,4.57,0,0,0,0,1,0,0,0,,,,
339,fa,34,568,621199,Matt Bowman,18,1.29,21.2,23,12,11,5,16,3,65,95,381,4.57,0,0,0,0,1,0,0,0,,,,
340,wsh,25,120,680730,Mitchell Parker,16,1.32,86.1,81,48,44,33,59,11,259,370,1396,4.59,0,0,0,5,8,16,0,0,,,,
341,tor,34,141,592332,Kevin Gausman,15,1.13,86.0,73,45,44,24,84,12,258,348,1400,4.6,0,0,0,5,6,15,0,0,B2J,B2J,9334,SP
342,bal,29,110,665152,Dean Kremer,16,1.34,90.0,97,48,46,24,72,12,270,384,1458,4.6,0,0,0,6,7,15,0,0,,,,
343,min,29,142,663978,Chris Paddack,16,1.23,85.1,81,48,44,24,60,11,256,359,1403,4.64,0,0,0,3,6,16,0,0,,,,
344,min,27,142,663485,Cole Sands,34,1.27,33.0,33,21,17,9,24,3,99,139,515,4.64,2,7,2,3,3,0,0,0,,,,
345,fa,24,494,686563,Jonathan Cannon,12,1.4,63.2,68,34,33,21,51,11,191,281,1093,4.66,0,0,0,2,7,10,0,0,,,,
346,nyy,26,147,701542,Will Warren,16,1.33,75.1,69,41,39,31,96,6,226,327,1306,4.66,0,0,0,4,4,16,0,0,,,,
347,fa,27,564,685107,Anthony Veneziano,24,1.67,21.0,25,11,11,10,20,4,63,100,411,4.71,0,4,1,0,0,1,0,0,,,,
348,bos,25,111,690916,Richard Fitts,5,1.29,21.0,20,12,11,7,15,5,63,91,332,4.71,0,0,0,0,3,5,0,0,,,,
349,fa,27,564,685107,Anthony Veneziano,24,1.67,21.0,25,11,11,10,20,4,63,100,411,4.71,0,4,1,0,0,1,0,0,,,,
350,stl,30,138,667463,John King,30,1.61,26.2,35,16,14,8,13,3,80,121,422,4.73,0,1,1,2,0,0,0,0,,,,
351,fa,27,531,687396,Brent Headrick,11,1.13,13.1,12,7,7,3,16,3,40,54,218,4.73,0,0,0,0,0,0,0,0,,,,
352,mia,26,146,676974,Max Meyer,12,1.42,64.2,72,39,34,20,68,12,194,285,1039,4.73,0,0,0,3,5,12,0,0,,,,
353,fa,31,568,666974,Yennier Cano,32,1.39,26.2,29,15,14,8,31,4,80,113,470,4.73,0,11,2,1,4,0,0,0,,,,
354,fa,28,342,663372,Ryan Feltner,6,1.48,30.1,33,17,16,12,25,4,91,135,522,4.75,0,0,0,0,2,6,0,0,,,,
355,laa,27,108,666171,Ryan Zeferjahn,33,1.41,28.1,26,15,15,14,36,6,85,124,511,4.76,1,14,3,4,1,0,0,0,B2J,B2J,61375,RP
356,atl,26,144,693821,Bryce Elder,12,1.33,66.0,68,35,35,20,55,11,198,281,1059,4.77,0,0,0,2,4,12,0,0,,,,
357,tb,26,139,669358,Shane Baz,15,1.33,82.2,76,44,44,34,77,14,248,352,1368,4.79,0,0,0,7,3,15,0,0,RV,RV,10934,SP
358,kc,33,118,547179,Michael Lorenzen,15,1.37,82.1,85,46,44,28,69,14,247,357,1359,4.81,0,0,0,4,7,15,0,0,,,,
359,kc,33,118,547179,Michael Lorenzen,15,1.37,82.1,85,46,44,28,69,14,247,357,1359,4.81,0,0,0,4,7,15,0,0,,,,
360,pit,25,134,681347,Mike Burrows,6,1.39,28.0,31,16,15,8,29,6,84,123,460,4.82,0,0,0,1,2,6,0,0,,,,
361,laa,35,108,543294,Kyle Hendricks,15,1.32,82.0,85,47,44,23,55,14,246,351,1301,4.83,0,0,0,5,6,15,0,0,TBB,TBB,9758,"SP,RP"
362,det,29,116,656427,Jack Flaherty,15,1.21,78.1,64,43,42,31,93,15,235,327,1373,4.83,0,0,0,5,8,15,0,0,B2J,B2J,10592,SP
363,det,29,116,656427,Jack Flaherty,15,1.21,78.1,64,43,42,31,93,15,235,327,1373,4.83,0,0,0,5,8,15,0,0,B2J,B2J,10592,SP
364,oak,31,133,622663,Luis Severino,17,1.35,100.2,105,57,54,31,68,9,302,440,1663,4.83,0,0,0,2,8,17,0,0,,,,
365,fa,25,234,669438,Mason Englert,13,1.39,22.1,27,13,12,4,22,2,67,97,367,4.84,0,0,0,0,0,0,0,0,,,,
366,ari,32,109,657044,Ryan Thompson,33,1.48,29.2,35,17,16,9,27,4,89,129,466,4.85,1,9,3,2,2,0,0,0,,,,
367,min,29,142,641927,Bailey Ober,16,1.37,86.1,97,48,47,21,69,17,259,377,1390,4.9,0,0,0,4,5,16,1,0,,,,
368,fa,28,556,665625,Elvis Peguero,6,1.64,7.1,8,6,4,4,5,1,22,36,146,4.91,0,1,0,0,0,0,0,0,,,,
369,nyy,30,147,642207,Devin Williams,33,1.23,29.1,24,18,16,12,37,1,88,126,528,4.91,10,7,1,2,2,0,0,0,TBB,TBB,11628,RP
370,lad,24,119,680736,Justin Wrobleski,6,1.23,29.1,28,17,16,8,28,4,88,123,462,4.91,0,0,0,3,2,2,0,0,,,,
371,tb,25,139,682254,Mason Montgomery,35,1.54,27.1,29,18,15,13,37,4,82,124,489,4.94,1,9,1,1,1,0,0,0,,,,
372,tb,27,139,670955,Edwin Uceta,33,1.42,31.0,30,17,17,14,32,8,93,136,519,4.94,0,12,2,5,1,0,0,0,,,,
373,fa,26,556,668964,Tobias Myers,6,1.8,20.0,26,11,11,10,15,2,60,96,368,4.95,0,0,0,1,1,5,0,0,,,,
374,oak,26,133,695243,Mason Miller,28,1.19,28.2,19,17,16,15,47,4,86,119,463,5.02,14,0,3,1,2,0,0,0,SAD,SAD,12505,RP
375,cws,30,145,650644,Aaron Civale,7,1.47,34.0,38,19,19,12,25,7,102,149,586,5.03,0,0,0,1,4,7,0,0,,,,
376,cws,30,145,650644,Aaron Civale,7,1.47,34.0,38,19,19,12,25,7,102,149,586,5.03,0,0,0,1,4,7,0,0,,,,
377,fa,31,102,676961,Caleb Boushley,15,1.32,30.1,35,18,17,5,29,4,91,128,482,5.04,1,0,0,0,0,0,0,0,,,,
378,fa,31,422,622253,Dillon Tate,5,2.44,5.1,7,3,3,6,7,1,16,30,118,5.06,0,0,0,0,0,0,0,0,,,,
379,min,24,142,680573,Simeon Woods Richardson,11,1.46,53.1,57,32,30,21,46,8,160,235,930,5.06,0,0,0,2,4,10,0,0,,,,
380,wsh,27,120,647336,Michael Soroka,10,1.09,53.1,44,30,30,14,59,10,160,223,874,5.06,0,0,0,3,5,10,0,0,,,,
381,fa,31,422,622253,Dillon Tate,5,2.44,5.1,7,3,3,6,7,1,16,30,118,5.06,0,0,0,0,0,0,0,0,,,,
382,oak,25,133,680880,Grant Holman,22,1.52,23.0,26,14,13,9,17,3,69,103,376,5.09,0,3,2,4,2,2,0,0,,,,
383,cws,33,145,592155,Cam Booser,30,1.42,24.2,21,16,14,14,27,5,74,112,451,5.11,1,7,3,1,4,0,0,0,,,,
384,mia,30,146,622786,Jesus Tinoco,20,1.29,19.1,17,12,11,8,10,1,58,80,304,5.12,4,4,2,2,1,0,0,0,,,,
385,mia,30,146,622786,Jesus Tinoco,20,1.29,19.1,17,12,11,8,10,1,58,80,304,5.12,4,4,2,2,1,0,0,0,,,,
386,chc,24,112,687863,Porter Hodge,21,1.5,19.1,18,12,11,11,19,2,58,84,344,5.12,2,6,2,2,1,0,0,0,,,,
387,mia,30,146,622786,Jesus Tinoco,20,1.29,19.1,17,12,11,8,10,1,58,80,304,5.12,4,4,2,2,1,0,0,0,,,,
388,fa,27,238,689017,Landon Knack,9,1.47,38.2,39,24,22,18,35,10,116,172,718,5.12,0,0,0,3,2,7,0,0,,,,
389,col,32,115,607536,Kyle Freeland,14,1.53,73.2,98,54,42,15,57,8,221,328,1155,5.13,0,0,0,1,8,14,0,0,,,,
390,sea,25,136,666619,Gregory Santos,8,2.29,7.0,8,6,4,8,0,0,21,36,132,5.14,0,1,1,1,1,0,0,0,,,,
391,bal,25,110,700249,Cade Povich,13,1.5,64.2,74,40,37,23,68,10,194,285,1153,5.15,0,0,0,2,5,12,0,0,,,,
392,kc,27,118,666142,Cole Ragans,10,1.29,48.2,47,29,28,16,76,5,146,209,873,5.18,0,0,0,2,3,10,0,0,RV,RV,10610,SP
393,laa,30,108,641401,Connor Brogdon,18,1.16,19.0,15,12,11,7,15,4,57,78,311,5.21,0,2,0,1,0,0,0,0,,,,
394,laa,30,108,641401,Connor Brogdon,18,1.16,19.0,15,12,11,7,15,4,57,78,311,5.21,0,2,0,1,0,0,0,0,,,,
395,fa,29,582,674944,Sean Guenther,9,1.45,10.1,10,7,6,5,8,0,31,43,154,5.23,0,2,0,0,1,1,0,0,,,,
396,oak,26,133,669372,J.T. Ginn,6,1.39,22.1,24,13,13,7,27,6,67,97,394,5.24,0,1,0,1,2,4,0,0,,,,
397,cws,30,145,641302,Tyler Alexander,25,1.5,48.0,56,35,28,16,37,3,144,212,792,5.25,1,1,1,4,7,4,0,0,,,,
398,pit,31,134,621366,Ryan Borucki,29,1.25,25.2,21,17,15,11,22,3,77,105,429,5.26,0,6,3,1,3,0,0,0,,,,
399,tor,32,141,656546,Jeff Hoffman,34,1.11,32.1,26,20,19,10,44,8,97,133,510,5.29,17,0,4,6,2,0,0,0,TBB,TBB,9896,RP
400,phi,32,143,605452,Joe Ross,26,1.43,37.0,40,23,22,13,27,7,111,165,616,5.35,0,0,2,2,1,1,0,0,,,,
401,fa,33,1960,570632,José Ureña,9,1.53,18.1,23,11,11,5,10,5,55,82,304,5.4,1,0,0,0,0,2,0,0,,,,
402,ari,32,109,593958,Eduardo Rodriguez,13,1.58,66.2,81,47,40,24,74,11,200,304,1120,5.4,0,0,0,3,4,13,0,0,,,,
403,fa,27,451,681799,Ethan Roberts,9,1.2,8.1,8,5,5,2,6,2,25,35,127,5.4,0,0,0,1,0,0,0,0,,,,
404,sea,26,136,676106,Emerson Hancock,13,1.43,66.1,71,40,40,24,50,14,199,283,1060,5.43,0,0,0,3,3,13,0,0,,,,
405,oak,29,133,676664,JP Sears,16,1.33,81.0,89,49,49,19,63,18,243,351,1416,5.44,0,0,0,5,7,16,0,0,,,,
406,bal,31,110,621107,Zach Eflin,11,1.38,61.0,73,38,37,11,42,15,183,261,936,5.46,0,0,0,6,4,11,0,0,,,,
407,bal,31,110,621107,Zach Eflin,11,1.38,61.0,73,38,37,11,42,15,183,261,936,5.46,0,0,0,6,4,11,0,0,,,,
408,det,28,116,672578,Carlos Hernández,27,1.75,28.0,35,18,17,14,27,4,84,134,484,5.46,0,1,0,1,0,0,0,0,,,,
409,sea,29,136,676092,Collin Snider,24,1.44,26.1,32,20,16,6,24,3,79,119,477,5.47,0,4,0,2,1,0,0,0,,,,
410,pit,26,134,669387,Carmen Mlodzinski,13,1.68,47.2,64,31,29,16,34,7,143,220,843,5.48,0,0,0,1,5,9,0,0,,,,
411,hou,33,117,672391,Kaleb Ort,22,1.27,21.1,16,13,13,11,21,3,64,87,357,5.48,0,1,0,1,1,0,0,0,,,,
412,laa,24,108,686799,Jack Kochanowicz,16,1.55,82.0,89,51,50,38,59,15,246,358,1326,5.49,0,0,0,3,8,16,0,0,,,,
413,ari,26,109,694297,Brandon Pfaadt,16,1.39,80.1,92,51,49,20,65,16,241,355,1386,5.49,0,0,0,8,5,16,0,0,B2J,B2J,60056,SP
414,wsh,25,120,678606,Jose A. Ferrer,39,1.29,41.0,43,27,25,10,34,3,123,175,642,5.49,0,14,1,2,3,0,0,0,,,,
415,oak,36,133,519008,T.J. McFarland,26,1.77,14.2,23,9,9,3,7,2,44,68,245,5.52,0,7,1,0,0,0,0,0,,,,
416,mia,30,146,615698,Cal Quantrill,15,1.46,68.0,78,43,42,21,51,10,204,292,1201,5.56,0,0,0,3,7,15,0,0,,,,
417,ari,29,109,668678,Zac Gallen,16,1.4,91.2,87,60,57,41,86,17,275,399,1515,5.6,0,0,0,5,8,16,0,0,,,,
418,bal,41,110,450203,Charlie Morton,18,1.57,72.0,79,47,45,34,77,10,216,330,1300,5.63,0,0,0,4,7,12,0,0,,,,
419,atl,35,144,628452,Raisel Iglesias,31,1.43,28.2,35,19,18,6,30,7,86,125,445,5.65,9,2,4,4,5,0,0,0,,,,
420,wsh,33,120,592866,Trevor Williams,16,1.47,79.2,97,52,50,20,61,9,239,354,1362,5.65,0,0,0,3,9,16,0,0,,,,
421,sea,26,136,682243,Bryce Miller,10,1.54,48.2,52,31,31,23,39,5,146,216,871,5.73,0,0,0,2,5,10,0,0,HAM,HAM,12540,SP
422,fa,33,552,657240,Julian Merryweather,21,1.82,18.2,23,13,12,11,15,2,56,88,353,5.79,0,8,0,0,1,0,0,0,,,,
423,col,30,115,608566,Germán Márquez,16,1.64,77.2,103,62,50,24,56,8,233,362,1252,5.79,0,0,0,3,9,16,0,0,,,,
424,wsh,25,120,694350,Zach Brzykcy,20,1.45,18.2,18,12,12,9,19,5,56,83,356,5.79,0,0,0,0,0,0,0,0,,,,
425,fa,28,422,687922,Easton Lucas,5,1.43,21.2,21,14,14,10,22,5,65,93,368,5.82,0,0,0,3,2,4,0,0,,,,
426,fa,28,422,687922,Easton Lucas,5,1.43,21.2,21,14,14,10,22,5,65,93,368,5.82,0,0,0,3,2,4,0,0,,,,
427,fa,28,422,687922,Easton Lucas,5,1.43,21.2,21,14,14,10,22,5,65,93,368,5.82,0,0,0,3,2,4,0,0,,,,
428,bos,30,111,677161,Zack Kelly,15,1.4,20.0,20,16,13,8,20,2,60,89,321,5.85,0,2,1,1,3,0,0,0,,,,
429,fa,38,531,471911,Carlos Carrasco,8,1.53,32.0,39,21,21,10,25,7,96,142,514,5.91,0,0,0,2,2,6,0,0,,,,
430,col,22,115,683409,Angel Chivilli,21,1.55,30.1,34,23,20,13,22,6,91,137,500,5.93,0,1,0,1,2,0,0,0,,,,
431,wsh,26,120,671131,Jackson Rutledge,26,1.56,33.1,38,24,22,14,29,7,100,153,633,5.94,0,1,0,1,1,0,0,0,,,,
432,ari,33,109,605463,Tayler Scott,21,1.72,22.2,23,16,15,16,20,1,68,107,436,5.96,0,3,1,1,2,0,0,0,,,,
433,oak,31,133,600917,José Leclerc,10,2.0,9.0,13,6,6,5,8,3,27,46,229,6.0,0,1,2,0,1,0,0,0,,,,
434,fa,28,533,681867,Cooper Criswell,5,1.89,9.0,14,9,6,3,4,2,27,46,162,6.0,1,0,0,1,0,0,0,0,,,,
435,tor,29,141,670102,Bowden Francis,14,1.53,64.0,71,46,43,27,54,19,192,288,1141,6.05,0,0,0,2,8,14,0,0,,,,
436,fa,35,105,518397,Scott Alexander,19,1.65,16.1,20,11,11,7,6,4,49,72,270,6.06,0,3,1,1,1,0,0,0,,,,
437,fa,27,2310,686826,Bryce Jarvis,7,1.45,10.1,10,7,7,5,11,1,31,45,182,6.1,1,0,0,0,0,0,0,0,,,,
438,fa,25,451,676962,Ben Brown,16,1.53,79.1,94,55,54,27,91,13,238,359,1336,6.13,0,0,0,4,6,14,0,0,TBB,TBB,12748,"SP,RP"
439,fa,29,400,674370,Osvaldo Bido,12,1.76,48.1,62,37,33,23,34,12,145,228,861,6.14,0,0,0,2,4,9,0,0,,,,
440,sea,27,136,669923,George Kirby,6,1.4,30.2,35,21,21,8,33,7,92,132,527,6.16,0,0,0,1,3,6,0,0,CFL,CFL,11826,SP
441,phi,32,143,605400,Aaron Nola,9,1.51,49.2,59,35,34,16,52,11,149,220,863,6.16,0,0,0,1,7,9,0,0,SAD,SAD,9882,SP
442,fa,35,402,623149,Paul Sewald,14,1.29,11.2,13,8,8,2,15,3,35,48,189,6.17,1,3,1,1,1,0,0,0,,,,
443,fa,26,238,669422,Matt Sauer,9,1.45,27.2,32,21,19,8,22,5,83,120,468,6.18,1,0,0,2,1,1,0,0,,,,
444,laa,24,108,690829,Ben Joyce,5,1.38,4.1,5,4,3,1,1,1,13,20,70,6.23,0,2,2,1,0,0,0,0,,,,
445,bos,30,111,621111,Walker Buehler,13,1.57,63.0,70,46,44,29,56,13,189,289,1122,6.29,0,0,0,5,5,13,0,0,,,,
446,min,27,142,666214,Joey Wentz,23,1.69,31.1,37,24,22,16,26,4,94,148,585,6.32,0,0,1,2,1,0,0,0,,,,
447,min,27,142,666214,Joey Wentz,23,1.69,31.1,37,24,22,16,26,4,94,148,585,6.32,0,0,1,2,1,0,0,0,,,,
448,sea,31,136,663423,Trent Thornton,20,1.5,22.2,24,16,16,10,17,6,68,102,391,6.35,0,5,1,1,0,0,0,0,,,,
449,fa,28,451,650893,Génesis Cabrera,15,1.35,17.0,17,12,12,6,15,5,51,71,260,6.35,0,1,0,0,0,0,0,0,,,,
450,min,25,142,701581,David Festa,7,1.61,31.0,35,25,22,15,32,6,93,143,567,6.39,0,0,0,1,2,6,0,0,,,,
451,oak,31,133,621053,Tyler Ferguson,35,1.49,33.2,30,26,24,20,31,3,101,149,603,6.42,1,9,3,2,2,0,0,0,,,,
452,fa,35,400,543518,Scott McGough,7,1.71,7.0,6,5,5,6,5,1,21,35,136,6.43,0,0,0,0,0,0,0,0,,,,
453,fa,28,533,663855,Jordan Hicks,13,1.54,48.2,55,36,35,20,43,3,146,217,825,6.47,0,1,0,1,5,9,0,0,,,,
454,col,30,115,622608,Antonio Senzatela,16,1.9,76.1,117,62,55,28,40,12,229,366,1384,6.48,0,0,0,3,10,15,0,0,,,,
455,phi,32,143,605447,Jordan Romano,31,1.48,27.2,28,21,20,13,35,4,83,121,464,6.51,8,6,2,0,3,0,0,0,,,,
456,fa,27,512,689225,Beau Brieske,22,1.64,22.0,24,20,16,12,16,5,66,103,405,6.55,1,5,1,1,3,1,0,0,,,,
457,wsh,32,120,605347,Jorge López,26,1.3,24.2,25,18,18,7,17,1,74,106,387,6.57,1,5,3,6,0,0,0,0,,,,
458,wsh,32,120,605347,Jorge López,26,1.3,24.2,25,18,18,7,17,1,74,106,387,6.57,1,5,3,6,0,0,0,0,,,,
459,nyy,31,121,621112,Paul Blackburn,5,1.75,17.2,24,14,13,7,13,2,53,84,330,6.62,1,0,0,0,2,3,0,0,,,,
460,fa,25,235,700669,Gordon Graceffo,10,1.3,17.2,19,16,13,4,15,1,53,77,299,6.62,1,0,0,2,0,0,0,0,,,,
461,fa,25,494,672782,Yoendrys Gómez,12,1.87,17.2,20,14,13,13,13,3,53,86,330,6.62,1,0,0,1,1,0,0,0,,,,
462,nyy,31,121,621112,Paul Blackburn,5,1.75,17.2,24,14,13,7,13,2,53,84,330,6.62,1,0,0,0,2,3,0,0,,,,
463,tex,25,140,677958,Kumar Rocker,8,1.66,33.2,45,26,25,11,31,4,101,157,597,6.68,0,0,0,3,4,8,0,0,RV,RV,60427,SP
464,fa,27,494,686642,Fraser Ellard,7,1.05,6.2,1,5,5,6,10,0,20,25,114,6.75,0,1,0,0,2,0,0,0,,,,
465,col,34,115,641755,Tyler Kinley,34,1.68,32.2,31,28,25,24,32,2,98,155,645,6.89,2,5,3,0,3,0,0,0,,,,
466,fa,28,235,688297,Chris Roycroft,14,1.77,13.0,14,12,10,9,9,0,39,61,243,6.92,0,2,0,1,3,0,0,0,,,,
467,fa,27,4904,689690,Alek Jacob,22,1.76,23.1,31,19,18,10,18,6,70,114,438,6.94,0,3,0,1,0,0,0,0,,,,
468,fa,27,494,669060,Bryse Wilson,19,1.9,45.1,67,37,35,19,27,11,136,218,833,6.95,0,0,0,0,2,5,0,0,,,,
469,fa,26,484,693312,Kyle Nicolas,10,1.83,12.0,13,10,10,9,8,2,36,60,245,7.5,0,0,0,0,0,0,0,0,,,,
470,fa,28,1960,681892,Kody Funderburk,9,1.92,12.0,18,10,10,5,9,2,36,58,224,7.5,0,0,0,1,0,0,0,0,,,,
471,cws,30,145,612434,Miguel Castro,6,1.67,6.0,5,5,5,5,4,1,18,28,105,7.5,0,1,0,0,0,0,0,0,,,,
472,fa,24,342,678821,Luis Peralta,9,2.16,8.1,10,9,7,8,5,1,25,44,192,7.56,0,1,0,1,1,0,0,0,,,,
473,fa,30,561,641312,Shaun Anderson,6,1.78,10.2,16,9,9,3,10,4,32,50,194,7.59,0,1,1,1,0,0,0,0,,,,
474,fa,30,561,641312,Shaun Anderson,6,1.78,10.2,16,9,9,3,10,4,32,50,194,7.59,0,1,1,1,0,0,0,0,,,,
475,fa,35,431,605154,John Brebbia,19,1.77,18.2,22,18,16,11,20,3,56,93,375,7.71,0,2,0,1,0,0,0,0,,,,
476,fa,35,431,605154,John Brebbia,19,1.77,18.2,22,18,16,11,20,3,56,93,375,7.71,0,2,0,1,0,0,0,0,,,,
477,fa,34,238,608717,Chris Stratton,15,2.0,21.0,32,20,18,10,22,4,63,104,411,7.71,0,0,0,0,0,0,0,0,,,,
478,fa,37,451,628317,Kenta Maeda,7,1.88,8.0,9,8,7,6,8,1,24,43,171,7.88,0,0,0,0,0,0,0,0,,,,
479,fa,34,494,605182,Mike Clevinger,8,2.29,5.2,5,5,5,8,3,0,17,31,114,7.94,0,2,0,0,2,0,0,0,,,,
480,fa,26,564,666277,George Soriano,12,1.77,20.1,25,19,18,11,21,6,61,95,386,7.97,0,0,0,1,0,0,0,0,,,,
481,cws,26,145,694363,Jared Shuster,12,2.04,15.2,27,15,14,5,12,0,47,82,280,8.04,0,0,0,0,0,2,0,0,,,,
482,fa,28,533,656557,Tanner Houck,9,1.69,43.2,57,41,39,17,32,10,131,203,749,8.04,0,0,0,0,3,9,0,0,,,,
483,bos,29,111,660896,Jorge Alcala,25,1.69,26.2,30,25,24,15,30,5,80,122,512,8.1,0,1,1,0,2,0,0,0,,,,
484,fa,25,235,682610,Roddery Muñoz,6,1.5,6.2,6,6,6,4,7,2,20,30,132,8.1,0,0,0,0,0,0,0,0,,,,
485,wsh,27,120,674285,Eduardo Salazar,26,2.21,25.1,42,24,23,14,20,5,76,132,478,8.17,0,2,1,0,1,0,0,0,,,,
486,wsh,27,120,674285,Eduardo Salazar,26,2.21,25.1,42,24,23,14,20,5,76,132,478,8.17,0,2,1,0,1,0,0,0,,,,
487,fa,29,568,672335,Cionel Pérez,19,2.12,21.2,28,22,20,18,21,3,65,110,437,8.31,0,0,0,0,0,0,0,0,,,,
488,fa,31,556,606303,Joel Payamps,23,1.69,18.1,25,17,17,6,16,3,55,84,306,8.35,1,3,0,0,1,0,0,0,,,,
489,laa,36,108,593576,Héctor Neris,22,1.57,14.0,15,13,13,7,20,3,42,63,285,8.36,0,7,2,3,1,0,0,0,,,,
490,laa,36,108,593576,Héctor Neris,22,1.57,14.0,15,13,13,7,20,3,42,63,285,8.36,0,7,2,3,1,0,0,0,,,,
491,fa,27,1960,687362,Connor Gillispie,6,1.65,26.0,32,26,25,11,23,6,78,123,471,8.65,0,0,0,0,3,6,0,0,,,,
492,fa,30,431,614179,José Ruiz,18,1.96,16.1,23,17,16,9,15,3,49,79,302,8.82,0,3,0,1,0,0,0,0,,,,
493,pit,29,134,670059,Colin Holderman,14,2.07,15.0,20,15,15,11,11,3,45,74,279,9.0,0,2,2,0,1,0,0,0,,,,
494,fa,29,5434,664351,Luis Contreras,7,1.89,9.0,11,9,9,6,10,2,27,43,172,9.0,0,1,0,0,0,0,0,0,,,,
495,fa,35,422,606930,Jacob Barnes,6,1.63,8.0,10,9,8,3,5,1,24,36,146,9.0,0,0,0,0,1,0,0,0,,,,
496,kc,29,118,669674,Sam Long,9,2.11,9.0,12,12,10,7,7,2,27,45,192,10.0,0,0,0,0,2,0,0,0,,,,
497,fa,32,484,663432,Tanner Rainey,11,1.7,7.2,7,9,9,6,9,0,23,37,156,10.57,0,2,1,0,1,0,0,0,,,,
498,fa,27,235,681676,Ryan Fernandez,11,2.31,8.2,15,13,11,5,7,2,26,45,158,11.42,0,2,1,0,2,0,0,0,,,,
499,fa,31,552,621363,Colin Poche,13,2.54,8.2,10,12,11,12,10,1,26,46,215,11.42,0,0,0,1,2,0,0,0,,,,
500,ari,31,109,656464,Kevin Ginkel,17,2.0,14.0,18,19,18,10,18,2,42,73,301,11.57,1,5,1,1,3,0,0,0,,,,
501,fa,27,400,687424,Anthony Maldonado,6,2.5,6.0,10,8,8,5,7,3,18,33,129,12.0,0,0,0,0,0,0,0,0,,,,
502,fa,28,238,664747,Alexis Díaz,6,2.17,6.0,8,8,8,5,3,4,18,33,131,12.0,0,2,0,0,0,0,0,0,,,,
503,fa,23,529,700187,Troy Taylor,8,2.55,6.2,14,9,9,3,2,2,20,37,136,12.15,0,0,0,0,0,0,0,0,,,,
504,chc,29,112,669212,Eli Morgan,7,2.05,7.1,12,10,10,3,4,3,22,35,132,12.27,0,0,1,0,1,0,0,0,,,,
505,fa,28,451,663878,Nate Pearson,9,2.53,10.2,18,15,15,9,6,2,32,59,211,12.66,0,1,0,0,1,0,0,0,,,,
506,fa,28,451,663878,Nate Pearson,9,2.53,10.2,18,15,15,9,6,2,32,59,211,12.66,0,1,0,0,1,0,0,0,,,,
507,fa,24,342,687134,Bradley Blalock,5,2.06,16.0,27,23,23,6,8,6,48,78,299,12.94,0,0,0,0,2,3,0,0,,,,
508,fa,24,342,687134,Bradley Blalock,5,2.06,16.0,27,23,23,6,8,6,48,78,299,12.94,0,0,0,0,2,3,0,0,,,,
509,tb,27,139,666215,Forrest Whitley,9,2.0,11.0,16,16,16,6,9,3,33,57,212,13.09,0,0,0,0,0,0,0,0,,,,
510,fa,27,400,671305,Michel Otañez,6,2.25,5.1,7,8,8,5,6,2,16,28,121,13.5,0,1,0,0,0,0,0,0,,,,
511,fa,31,1410,608371,Lucas Sims,18,2.27,12.1,14,19,19,14,13,2,37,72,279,13.86,0,1,1,1,0,0,0,0,,,,
512,fa,31,1410,608371,Lucas Sims,18,2.27,12.1,14,19,19,14,13,2,37,72,279,13.86,0,1,1,1,0,0,0,0,,,,
513,wsh,26,120,702795,Ryan Loutos,7,2.29,7.0,11,13,11,5,4,1,21,39,126,14.14,0,0,0,1,0,0,0,0,,,,
514,tor,31,141,657024,Erik Swanson,6,2.44,5.1,8,9,9,5,3,2,16,30,128,15.19,0,0,0,1,0,0,0,0,,,,
515,ari,34,109,573009,Joe Mantiply,10,3.0,9.2,26,17,17,3,8,5,29,58,192,15.83,0,0,1,0,1,0,0,0,,,,
