rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
17,tor,21,141,800125,Fernando Perez,26,1.16,121.1,113,50,41,28,105,7,364,503,,3.04,0,0,0,6,7,ALL (2)
17,sf,26,137,805345,Trent Harris,43,1.27,57.1,54,28,28,19,65,6,172,240,,4.40,2,8,2,4,2,ALL (2)
17,sea,23,136,691786,Michael Morales,22,1.40,101.2,105,57,52,37,70,5,305,435,,4.60,0,0,0,4,7,AA
17,tb,20,139,808250,Jose Urbina,20,1.06,96.1,72,31,23,30,101,9,289,380,,2.15,0,0,0,7,2,ALL (2)
17,oak,25,133,690658,Will Johnston,43,1.40,70.0,59,42,38,39,87,7,210,301,,4.89,5,1,1,2,6,ALL (2)
17,la,23,119,814527,Patrick Copen,27,1.44,117.2,85,55,47,84,152,2,353,524,,3.59,0,0,0,4,7,ALL (2)
17,nym,28,121,702752,Jonathan Pintaro,29,1.42,82.2,71,45,41,46,104,9,248,361,,4.46,1,0,0,2,5,ALL (3)
17,min,24,142,690217,C.J. Culpepper,17,1.33,59.1,48,20,16,31,53,4,178,250,,2.43,0,0,0,2,2,ALL (3)
18,min,23,142,694397,Marco Raya,30,1.62,98.2,103,72,66,57,102,16,296,451,,6.02,0,1,0,2,8,AAA
18,ari,22,109,802416,Ashton Izzi,18,1.44,75.0,80,48,40,28,80,11,225,334,,4.80,0,0,0,3,6,ALL (2)
18,sea,26,136,681041,Marcelo Perez,19,1.12,91.2,80,35,35,23,62,10,275,370,,3.44,0,0,0,6,6,ALL (2)
18,mia,21,146,703596,Karson Milbrandt,22,1.28,90.0,67,33,30,48,113,3,270,389,,3.00,0,0,0,3,5,ALL (3)
18,atl,22,144,803349,Herick Hernandez,22,1.34,103.1,70,42,41,68,127,14,310,443,,3.57,0,0,0,3,6,A+
18,mil,26,158,688107,Robert Gasser,16,1.12,43.2,34,17,12,15,46,2,131,179,,2.47,0,0,0,3,4,ALL (4)
18,stl,24,138,813820,Chen-Wei Lin,17,1.49,50.1,36,35,31,39,70,3,151,223,,5.54,0,0,0,0,2,ALL (3)
18,was,24,120,811291,Eriq Swan,21,1.43,91.2,68,48,45,63,102,7,275,398,,4.42,0,0,0,4,6,ALL (2)
18,sf,24,137,686790,Trevor McDonald,32,1.40,157.1,157,104,87,64,158,23,472,689,,4.98,0,0,0,10,9,ALL (2)
18,kc,21,118,806265,Blake Wolters,12,1.56,47.1,34,25,21,40,40,3,142,207,,3.99,0,0,0,2,2,A
18,bal,22,110,801725,Luis De León,20,1.21,87.1,65,40,32,41,107,0,262,375,,3.30,0,0,0,5,3,ALL (3)
18,tb,21,139,804541,Gary Gill Hill,25,1.16,136.2,129,63,58,30,107,17,410,569,,3.82,0,0,0,7,8,A+
18,bos,23,111,827292,John Holobetz,23,1.06,124.2,112,49,42,20,120,10,374,499,,3.03,0,0,0,8,4,ALL (3)
19,atl,25,144,681256,Ian Mejia,25,1.10,131.1,103,42,39,41,109,10,394,525,,2.67,1,0,0,12,3,ALL (2)
19,oak,20,133,827734,Wei-En Lin,26,1.06,87.0,70,41,36,22,117,9,261,350,,3.72,0,0,0,4,5,ALL (3)
19,sf,20,137,823929,Alberto Laroche,10,0.94,38.1,30,14,9,6,34,0,115,153,,2.11,0,0,0,1,3,ROK
19,stl,22,138,702296,Nate Dohm,23,1.32,75.0,67,35,27,32,90,7,225,323,,3.24,0,0,0,3,7,ALL (3)
19,det,24,116,805725,Jake Miller,6,1.20,20.0,20,5,4,4,21,1,60,83,,1.80,0,0,0,0,0,ALL (2)
19,cle,24,114,688883,Peyton Pallette,52,1.12,64.1,44,30,29,28,86,6,193,265,,4.06,11,5,1,2,3,ALL (2)
19,mia,23,146,694795,Josh Ekness,46,1.33,54.0,46,34,25,26,68,2,162,247,,4.17,10,1,2,4,1,ALL (2)
19,min,24,142,702193,Andrew Morris,21,1.33,94.2,98,49,43,28,89,11,284,398,,4.09,0,0,1,4,6,AAA
19,chc,26,112,805990,Grant Kipp,26,1.32,108.2,86,55,51,57,110,10,326,469,,4.22,0,0,0,6,7,AA
19,nyy,23,147,694696,Cade Smith,11,1.06,39.2,24,11,11,18,42,2,119,161,,2.50,0,0,0,2,1,ALL (3)
19,was,22,120,800600,Jackson Kent,24,1.22,123.0,112,67,63,38,132,14,369,509,,4.61,0,0,0,7,10,ALL (2)
19,col,21,115,700327,Welinton Herrera,52,1.14,64.2,49,23,19,25,99,2,194,272,,2.64,17,5,4,5,5,ALL (2)
19,sd,25,135,678184,Garrett Hawkins,45,0.85,60.0,28,10,10,23,80,1,180,228,,1.50,10,3,0,9,1,ALL (2)
19,bal,24,110,694370,Levi Wells,25,1.32,95.2,87,46,37,39,96,7,287,417,,3.48,2,0,0,2,6,ALL (2)
20,tex,18,140,834605,Seong-Jun Kim,1,0.00,1.0,0,0,0,0,2,0,3,3,,0.00,0,0,0,0,0,ROK
20,sd,24,135,800212,Francis Pena,43,1.61,52.1,50,33,29,34,47,4,157,237,,4.99,0,5,4,4,4,AAA
20,phi,24,143,686934,Alex McFarlane,28,1.38,80.0,67,46,43,43,82,4,240,346,,4.84,0,1,2,4,9,ALL (2)
20,det,25,116,681916,Dylan Smith,37,0.95,52.2,28,12,12,22,61,1,158,199,,2.05,3,4,0,5,1,ALL (5)
20,col,23,115,701056,Josh Grosz,23,1.30,125.1,108,71,65,55,135,14,376,535,,4.67,0,0,0,5,14,ALL (2)
20,la,21,119,806293,Payton Martin,21,1.28,81.1,79,41,39,25,82,10,244,341,,4.32,0,0,0,7,4,ALL (2)
20,ari,22,109,801179,Yu-Min Lin,23,1.81,101.2,124,81,75,60,85,18,305,481,,6.64,0,0,0,5,7,AAA
20,nym,25,121,697811,Dylan Ross,49,1.15,54.0,29,19,13,33,80,4,162,224,,2.17,7,9,2,2,0,ALL (3)
20,ana,26,108,696519,Samy Natera Jr.,49,1.35,57.0,35,28,18,42,85,5,171,248,,2.84,8,7,4,4,1,ALL (2)
20,mil,24,158,824620,Tyson Hardin,21,1.18,96.0,96,33,29,17,96,3,288,388,,2.72,0,0,0,6,5,ALL (2)
20,bal,24,110,694345,Patrick Reilly,3,1.03,9.2,6,2,2,4,8,0,29,37,,1.86,0,0,0,0,1,AA
21,atl,22,144,702910,Jhancarlos Lara,34,1.72,68.2,53,64,59,65,104,9,206,327,,7.73,0,2,0,0,9,ALL (2)
21,cle,25,114,689958,Andrew Walters,14,1.20,13.1,7,5,4,9,25,1,40,56,,2.70,0,2,0,0,0,ALL (2)
21,stl,21,138,815119,Tanner Franklin,3,1.50,6.0,4,1,1,5,9,0,18,28,,1.50,0,0,0,0,0,ALL (2)
21,ari,21,109,808054,Yordin Chalas,26,1.64,71.1,79,53,48,38,68,4,214,330,,6.06,0,2,0,2,4,ALL (2)
21,la,21,119,815794,Hyun-Seok Jang,13,1.35,40.2,23,21,21,32,54,4,122,175,,4.65,0,0,0,0,2,A
21,col,23,115,820825,Konner Eaton,27,1.26,140.0,124,64,59,52,149,14,420,592,,3.79,0,0,0,6,9,ALL (2)
21,cws,24,145,693739,Alexander Alberto,42,1.17,48.2,36,16,14,21,64,1,146,209,,2.59,6,5,4,2,2,ALL (2)
21,tor,26,141,681751,Lazaro Estrada,28,1.45,104.2,119,76,69,33,109,19,314,464,,5.93,0,0,1,4,7,ALL (2)
21,kc,26,118,696131,Mason Black,31,1.47,123.1,119,88,80,62,119,19,370,550,,5.84,0,0,0,3,10,ALL (2)
21,bos,25,111,687762,Blake Wehunt,17,1.47,63.1,64,45,40,29,76,8,190,281,,5.68,0,0,0,2,8,AA
21,mil,19,158,828475,Ethan Dorchies,19,1.05,82.0,51,31,25,35,89,4,246,333,,2.74,4,1,0,0,3,ALL (2)
22,ana,24,108,805871,Joel Hurtado,19,1.22,91.2,84,31,28,28,59,6,275,381,,2.75,0,0,0,5,6,ALL (2)
22,tor,25,141,671936,Adam Macko,23,1.40,81.1,75,44,43,39,91,6,244,357,,4.76,0,1,0,3,9,ALL (2)
22,oak,23,133,695761,Kenya Huggins,24,1.17,78.0,59,33,33,32,72,5,234,317,,3.81,0,1,0,2,3,ALL (2)
22,chc,26,112,690939,Connor Noland,27,1.42,132.2,133,69,60,55,115,13,398,579,,4.07,0,0,0,9,6,AAA
22,ari,25,109,805299,Brandyn Garcia,52,1.48,58.2,54,34,26,33,69,5,176,262,,3.99,5,7,1,6,7,ALL (5)
22,nym,23,121,822038,Ryan Lambert,46,1.16,50.0,31,10,9,27,81,1,150,205,,1.62,7,12,2,2,1,ALL (2)
22,tex,23,140,815048,Josh Trentadue,22,1.10,77.0,51,24,20,34,94,5,231,318,,2.34,1,0,0,1,3,ALL (2)
22,bos,17,111,829094,Sadbiel Delzine,3,1.29,9.1,11,5,5,1,9,0,28,39,,4.82,0,0,0,0,0,ROK
22,col,24,115,687087,Michael Prosecky,27,1.35,126.2,107,65,59,64,127,13,380,550,,4.19,0,0,0,11,7,ALL (2)
22,kc,22,118,700924,Frank Mozzicato,24,1.59,93.0,73,53,52,75,85,12,279,419,,5.03,0,0,1,3,5,ALL (2)
22,was,22,120,691251,Andry Lara,31,1.99,70.1,101,67,61,39,51,7,211,348,,7.81,0,0,0,1,9,ALL (4)
22,atl,21,144,804860,Landon Beidelschies,2,2.05,6.1,11,7,5,2,8,2,19,31,,7.11,0,0,0,0,1,A
22,cws,23,145,807187,Mathias LaCombe,19,1.11,53.1,35,20,18,24,73,3,160,224,,3.04,0,0,0,0,1,ALL (2)
23,sea,22,136,828430,Chia-Shi Shen,16,1.18,69.1,68,42,36,14,68,6,208,295,,4.67,0,0,0,3,5,ALL (2)
23,bos,19,111,815359,Conrad Cason,1,0.50,2.0,0,0,0,1,5,0,6,7,,0.00,0,0,0,0,0,ROK
23,was,22,120,701347,Yoel Tejeda Jr.,18,1.23,87.0,80,42,39,27,79,6,261,363,,4.03,0,0,0,4,5,ALL (2)
23,tex,21,140,806641,Kolton Curtis,19,1.42,66.0,50,43,38,44,75,4,198,290,,5.18,0,0,1,3,3,A+
23,nym,23,121,804267,Zach Thornton,14,0.81,72.2,48,21,16,11,78,5,218,274,,1.98,0,0,0,6,2,ALL (2)
23,chc,23,112,691739,Will Sanders,26,1.35,123.1,125,77,69,41,123,15,370,531,,5.04,0,1,0,10,6,ALL (2)
23,stl,24,138,802408,Brycen Mautz,25,1.11,114.2,94,39,38,33,134,13,344,468,,2.98,0,0,0,8,3,AA
23,cin,24,113,687209,Zach Maxwell,59,1.47,59.2,52,28,28,36,72,9,179,263,,4.22,5,6,3,1,3,ALL (2)
23,la,23,119,695646,Peter Heubeck,16,1.22,66.1,47,35,32,34,77,6,199,278,,4.34,0,0,0,2,5,AA
23,min,20,142,807974,Adrian Bohorquez,19,1.18,71.1,53,38,34,31,85,7,214,312,,4.29,0,1,0,3,4,ALL (2)
23,kc,21,118,702965,Hiro Wyatt,21,1.46,79.0,86,45,42,29,78,8,237,349,,4.78,0,0,0,2,7,A
23,sd,23,135,801293,Eric Yost,25,1.40,124.2,114,64,52,60,113,6,374,543,,3.75,0,0,0,5,11,ALL (2)
24,cin,25,113,683742,Jose Franco,31,1.26,110.0,85,47,38,54,118,14,330,468,,3.11,0,1,0,10,4,ALL (2)
24,tor,21,141,702255,Brandon Barriera,5,1.94,5.2,3,9,9,8,6,0,17,28,,14.29,0,0,0,0,1,ROK
24,oak,20,133,800612,Cole Miller,15,1.08,52.0,45,19,11,11,45,1,156,210,,1.90,0,1,0,1,4,ALL (2)
24,stl,22,138,801078,Braden Davis,25,1.21,110.1,58,39,35,75,153,4,331,453,,2.85,0,0,0,5,3,ALL (2)
24,hou,24,117,801802,James Hicks,11,1.52,46.2,57,33,29,14,46,7,140,206,,5.59,0,0,0,1,5,AA
24,ana,21,108,700712,Walbert Urena,28,1.36,141.0,119,75,68,73,125,8,423,604,,4.34,0,0,0,6,9,ALL (2)
24,sf,22,137,698965,Gerelmi Maldonado,23,1.58,59.0,49,34,26,44,69,2,177,272,,3.97,0,0,0,0,4,A
24,bos,23,111,694057,Yordanny Monegro,9,1.19,33.2,32,12,10,8,49,3,101,137,,2.67,0,0,0,2,1,AA
24,min,22,142,699276,Jose Olivares,22,1.36,90.1,66,47,44,57,107,4,271,388,,4.38,0,0,0,6,6,A+
24,phi,23,143,692414,Yoniel Curet,16,1.43,55.1,48,27,24,31,62,2,166,243,,3.90,0,0,0,3,3,ALL (3)
25,atl,26,144,802686,Hayden Harris,46,0.80,54.2,23,5,4,21,79,1,164,208,,0.66,4,8,1,6,0,ALL (3)
25,nym,24,121,822161,R.J. Gordon,26,1.24,128.2,113,62,48,46,147,15,386,539,,3.36,0,0,0,11,3,ALL (2)
25,mil,25,158,689441,Coleman Crow,12,1.04,50.0,40,18,18,12,64,3,150,200,,3.24,0,0,0,4,1,ALL (2)
25,tex,24,140,687847,Marc Church,13,2.67,12.0,17,10,10,15,15,1,36,67,,7.50,0,2,1,0,1,ALL (4)
25,tb,24,139,694494,Ty Johnson,26,0.94,110.1,66,36,32,38,149,5,331,430,,2.61,0,0,0,7,6,AA
25,sf,22,137,815219,Luis De La Torre,18,1.04,74.1,50,25,23,27,109,2,223,302,,2.78,0,0,0,4,3,ALL (2)
25,phi,22,143,703496,Mavis Graves,21,1.53,81.2,74,51,40,51,103,6,245,372,,4.41,0,0,0,6,7,A+
25,chc,25,112,680891,Jack Neely,31,1.50,33.1,23,22,22,27,43,5,100,155,,5.94,5,5,0,0,2,ALL (2)
25,tor,22,141,827664,Silvano Hechavarria,19,1.06,86.2,69,26,22,23,82,7,260,346,,2.28,0,0,1,5,2,ALL (3)
25,cin,22,113,702280,Tristan Smith,6,2.75,8.0,11,10,10,11,12,0,24,46,,11.25,0,0,1,0,1,ALL (2)
25,sea,26,136,810897,Charlie Beilenson,44,1.21,62.2,64,34,28,12,75,10,188,262,,4.02,7,11,4,4,4,ALL (2)
25,cle,22,114,691776,Josh Hartle,24,1.09,113.1,85,37,32,39,107,2,340,459,,2.54,0,0,0,10,3,ALL (2)
25,mia,20,146,824415,Grant Shepardson,17,1.43,55.1,46,33,26,33,59,3,166,247,,4.23,0,0,1,4,5,ALL (2)
25,ari,19,109,808035,Daury Vasquez,16,1.41,64.0,53,29,27,37,80,3,192,285,,3.80,0,0,0,2,4,ALL (2)
25,pit,19,134,807002,Jeter Martinez,18,1.72,65.0,70,58,51,42,66,1,195,306,,7.06,0,0,0,2,7,ALL (2)
26,tex,23,140,805823,Paul Bonzagni,3,1.71,9.1,11,6,5,5,15,1,28,45,,4.82,0,0,0,0,1,A+
26,chc,21,112,702271,Nazier Mulé,18,1.67,67.0,57,50,43,55,69,2,201,306,,5.78,0,0,0,3,8,ALL (2)
26,nym,23,121,702878,Douglas Orellana,41,1.34,51.2,39,21,17,30,63,2,155,218,,2.96,5,7,1,4,1,ALL (2)
26,nyy,24,147,801432,Eric Reyzelman,34,1.62,42.0,26,20,20,42,45,5,126,188,,4.29,1,7,1,1,2,AAA
26,col,26,115,696275,RJ Petit,47,1.06,66.1,48,20,18,22,79,4,199,268,,2.44,3,6,1,10,2,ALL (2)
26,sf,18,137,822215,Carlos De La Rosa,10,1.45,32.1,37,19,17,10,51,1,97,147,,4.73,0,0,0,0,1,ALL (2)
26,tb,23,139,694375,T.J. Nichols,25,1.02,133.2,106,47,43,30,156,21,401,524,,2.90,0,0,0,14,3,ALL (2)
26,bal,21,110,800286,Wellington Aracena,23,1.09,92.0,49,31,23,51,114,0,276,376,,2.25,0,3,1,2,2,ALL (3)
26,phi,20,143,827408,Ramon Marquez,14,1.25,55.0,52,28,27,17,72,4,165,238,,4.42,0,0,0,3,3,ALL (2)
26,det,21,116,827640,Lucas Elissalt,22,1.09,89.2,63,32,25,35,100,4,269,372,,2.51,0,1,1,5,1,ALL (2)
26,hou,23,117,696280,Alonzo Tredwell,26,1.30,100.0,85,46,41,45,122,9,300,427,,3.69,1,3,0,5,3,ALL (3)
26,atl,19,144,815626,Ethan Bagwell,13,1.03,59.0,42,25,20,19,45,4,177,232,,3.05,0,0,0,1,6,ALL (2)
26,cin,21,113,800616,Cole Schoenwetter,26,1.61,78.1,66,62,51,60,75,9,235,358,,5.86,2,0,0,3,8,A
26,pit,23,134,696143,Anthony Solometo,3,0.84,10.2,4,4,3,5,8,0,32,42,,2.53,0,0,0,1,0,ALL (2)
26,oak,23,133,823990,Zane Taylor,1,1.50,2.0,1,1,0,2,4,0,6,8,,0.00,0,0,0,0,0,AAA
27,tb,23,139,691765,Jackson Baumeister,15,1.25,62.1,53,37,32,25,51,6,187,261,,4.62,0,0,0,2,4,AA
27,mia,20,146,801737,Liomar Martinez,22,1.12,101.0,72,45,37,41,119,9,303,424,,3.30,0,0,0,5,5,A
27,hou,24,117,687062,Ramsey David,30,1.31,85.2,61,35,33,51,87,9,257,363,,3.47,0,3,1,4,5,ALL (3)
27,stl,24,138,703725,Luis Gastelum,46,1.10,62.2,52,29,28,17,92,3,188,260,,4.02,10,6,5,3,5,AA
27,chc,22,112,695645,Drew Gray,3,1.61,9.1,7,6,5,8,14,1,28,43,,4.82,0,0,0,0,2,ALL (2)
27,sf,22,137,805074,Yunior Marte,24,1.04,102.0,77,37,33,29,96,4,306,403,,2.91,0,0,0,3,5,ALL (2)
27,atl,19,144,810982,Rayven Antonio,21,1.25,93.1,81,47,43,36,95,6,280,400,,4.15,0,0,0,7,4,A
27,cws,22,145,702881,Aldrin Batista,7,1.43,14.0,13,12,9,7,17,0,42,66,,5.79,0,1,0,2,0,A+
27,cin,21,113,701370,JeanPierre Ortiz,26,1.20,91.1,77,36,29,33,83,7,274,382,,2.86,0,0,0,7,1,A
27,kc,23,118,694818,Hunter Owen,22,1.33,94.2,86,49,40,40,107,10,284,413,,3.80,1,1,0,5,5,AA
27,sd,22,135,702584,Isaiah Lowe,22,1.76,91.2,110,67,58,51,70,8,275,433,,5.69,0,0,0,3,12,A+
28,pit,23,134,696062,Wilber Dotel,27,1.23,125.2,111,62,58,43,131,14,377,535,,4.15,0,0,0,7,9,AA
28,ari,25,109,675450,Hunter Cranton,10,0.80,10.0,5,1,1,3,14,0,30,37,,0.90,3,0,0,2,0,ALL (2)
28,stl,22,138,695766,Mason Molina,23,1.18,95.2,70,36,33,43,119,8,287,395,,3.10,0,0,0,5,6,ALL (3)
28,cin,24,113,692226,Ty Floyd,8,0.90,27.2,14,12,10,11,31,4,83,109,,3.25,0,0,0,0,1,A
28,mia,20,146,827626,Nate Payne,17,1.22,56.1,32,21,20,37,73,2,169,228,,3.20,0,0,0,2,6,ALL (2)
28,ana,19,108,808161,Ubaldo Soto,18,1.17,73.2,51,34,32,35,83,7,221,308,,3.91,1,0,0,6,1,ALL (2)
28,tor,21,141,805793,Landen Maroudis,18,1.79,45.1,36,35,33,45,34,1,136,216,,6.55,0,0,0,1,8,ALL (2)
28,la,22,119,809915,Jakob Wright,9,1.37,19.2,19,11,7,8,24,0,59,90,,3.20,0,0,0,0,1,A
28,kc,23,118,700985,Josh Hansell,16,1.60,64.1,71,35,27,32,65,3,193,288,,3.78,0,0,0,1,3,ALL (2)
28,sd,22,135,694205,Victor Lizarraga,27,1.63,101.1,105,72,65,60,92,10,304,462,,5.77,0,0,1,5,10,ALL (2)
28,oak,25,133,800018,Chen Zhong-Ao Zhuang,28,1.28,145.2,151,79,66,35,145,22,437,617,,4.08,0,0,0,6,11,AA
29,tex,23,140,699214,Leandro Lopez,23,1.11,101.1,71,32,27,41,116,7,304,401,,2.40,0,0,0,3,4,ALL (2)
29,oak,22,133,809223,Tzu-Chen Sha,24,1.24,99.2,94,53,46,30,87,8,299,427,,4.15,2,1,1,4,9,ALL (2)
29,sd,21,135,807748,Kannon Kemp,18,1.52,77.2,86,51,48,32,64,4,233,350,,5.56,0,0,0,3,7,ALL (2)
29,cle,25,114,682982,Daniel Espino,1,4.50,0.2,3,3,3,0,1,0,2,5,,40.50,0,0,0,0,1,AAA
29,bos,26,111,700413,Tyler Uberstine,25,1.26,120.2,111,53,48,41,137,18,362,510,,3.58,0,1,0,6,5,ALL (2)
29,sea,26,136,804663,Tyler Cleveland,41,0.75,51.2,22,9,5,17,50,0,155,196,,0.87,2,11,1,3,1,ALL (2)
29,atl,24,144,693176,Elison Joseph,37,1.66,39.2,25,22,19,41,57,0,119,187,,4.31,6,3,3,1,4,AA
29,cin,23,113,695569,Luke Hayden,24,1.52,101.1,82,46,46,72,79,8,304,449,,4.09,0,0,0,4,7,A+
29,ana,19,108,820981,Dioris De La Rosa,12,1.92,30.2,32,24,19,27,31,1,92,150,,5.58,0,0,1,1,2,ROK
29,det,19,116,808383,Kelvis Salcedo,18,0.80,68.2,30,16,14,25,85,3,206,254,,1.83,0,0,1,4,0,ALL (2)
29,hou,22,117,826315,Cole Hertzler,4,1.13,16.0,12,3,2,6,22,0,48,64,,1.13,0,0,0,0,0,A
29,col,26,115,815456,Ben Shields,14,1.15,55.0,43,19,17,20,66,2,165,224,,2.78,0,0,0,2,2,ALL (5)
30,tor,19,141,703566,Carson Messina,1,1.50,2.0,3,2,2,0,2,0,6,9,,9.00,0,0,0,0,0,ROK
30,nyy,25,147,685464,Cade Winquest,25,1.36,106.0,105,54,47,39,110,7,318,460,,3.99,0,1,0,5,7,ALL (2)
30,cws,25,145,805326,Tyler Schweitzer,27,1.34,99.2,93,56,51,41,81,13,299,428,,4.61,0,1,0,8,2,ALL (2)
30,mia,21,146,803244,Eliazar Dishmey,22,1.13,99.1,64,33,32,48,108,3,298,404,,2.90,0,0,0,5,5,ALL (2)
30,det,19,116,815162,Ethan Schiefelbein,3,1.56,9.0,9,6,6,5,9,0,27,40,,6.00,0,0,0,2,0,ROK
30,cle,26,114,804926,Austin Peterson,28,1.17,145.2,130,58,52,40,127,15,437,591,,3.21,0,0,0,8,6,ALL (2)
30,ana,22,108,803135,Austin Gordon,21,1.36,84.1,88,54,51,27,95,12,253,375,,5.44,0,0,0,4,5,A+
30,was,26,120,676046,Griff McGarry,21,1.22,83.2,53,39,32,49,124,5,251,353,,3.44,0,0,0,2,5,ALL (3)
30,col,22,115,702484,Jackson Cox,23,1.12,85.0,70,35,32,25,92,12,255,341,,3.39,0,0,0,4,6,A
30,tex,23,140,701717,Dalton Pence,31,1.02,82.1,57,29,25,27,103,5,247,327,,2.73,0,1,1,4,4,ALL (2)
30,bos,26,111,675660,Shane Drohan,15,1.13,54.0,40,19,18,21,77,5,162,223,,3.00,0,0,0,5,2,ALL (2)
30,phi,26,143,685112,Zach McCambley,47,1.10,62.0,46,22,20,22,83,3,186,251,,2.90,1,10,1,2,3,ALL (2)
30,chc,24,112,690370,Tyler Schlaffer,21,1.19,104.2,79,45,41,46,102,9,314,429,,3.53,0,0,0,7,3,ALL (2)
30,ari,20,109,829473,Chung-Hsiang Huang,16,0.95,68.1,50,31,27,15,78,4,205,272,,3.56,0,0,0,4,3,ALL (2)
